text,rate
"









  
  
    
  Used in my woodshop for marking ends, etc.  I DO NOT PRESS HARD, yet, I have to have the entire box present because I almost go through a pencil tip every time I use the pencil..  I have never had that happen before... I have, in fact, a pencil that is at least two years old.... still holding up... and it is also rated ""2h"", which is what most carpenters want or use.  I advise against purchase... there are name brand pencils out there that will do the job.

  
",2.0 out of 5 stars
"









  
  
    
  I purchased these to donate to our church ""Back to School Backpack"" drive.  They're pre-sharpened and just what you expect from an ordinary pencil, with a few drawbacks.LENGTH:  The length of each pencil was consistent.ERASERS: The erasers aren't the best and are a bit ""wobbly"".  As well, they don't erase cleanly.  They leave a pink residue behind.  I don't like that.LEAD/SHARPENING: If you sharpen, sometimes the lead falls out.  Also, some of the pencils just keep sharpening down lower and lower.  You start with a new pencil and end up with half the pencil on one sharpening.  This doesn't happen with all the pencils, but it happens enough to be frustrating.VALUE:  The price is great.  However, I won't be buying again.  They just don't last long enough.

  
",3.0 out of 5 stars
"









  
  
    
  I have bought both the sharpened and unsharpened Amazon pencils.  They are both great, standard #2 pencils.  The price does fluctuate a with the sharpened ones a bit.  I looked at them before and first bought the unsharpened ones since they were a fair bit less.  When I bought the 150 sharpened ones at the beginning of the month, they were 9.99 dollars, but I've seen the price go up and down, currently 12.49 dollars.  I notice the list price for the 144 sharpened ones is 9.99, though currently there's a deal for them.Great pencils for school and home.

  
",5.0 out of 5 stars
"









  
  
    
  These are okay for the price, but definitely not great. In some of the pencils the lead is off center.Edit: Originally, I gave these 4 stars with the orginal review above. However, the more we use them the more I hate them. So often the lead is off center, which causes the lead to break easily. The kids are constantly having to stop their assignments and get up to sharpen their penicils. It is so distracting.  We still have a lot of these left, but they will be going in the trash and I will happily pay more for quality pencils.

  
",1.0 out of 5 stars
"









  
  
    
  Having two kids in school, requires a lot of pencils... so I was very excited to stumble upon this amazing deal! I added a little motivational phrase to each one and then decided to order another box for the rest of the school.Perfectly sharpened.Good eraser.Lightweight.Sharpens easily.

  
",5.0 out of 5 stars
"









  
  
    
  I bought these for my classroom.  The erasers fell off so soon that I had a bin of pencils with no erasers.  The lead is horrible.  It broke as I was sharpening them and had to throw most of them away.  Don't waste your money.

  
",1.0 out of 5 stars
"









  
  
    
  Honestly... at this point... I'm just writing reviews trying to stay awake... waiting for my husband to come home...these are pencils. Wood...and the black thing that writes. It does that erasing too. Good for school. My son uses them. They are a lot. As far as I can remember...they don't dobthat stupid crack thing every time we sharpen them so that's good.

  
",5.0 out of 5 stars
"









  
  
    
  Lead is not exactly in the center of a pencil. My kid could not write well with it because the lead is half covered by the thin wood so he kept sharpening and made the pencil really short... wood is hard and thick, and eraser works great but the QC is not that good I suppose.

  
",2.0 out of 5 stars
"









  
  
    
  The dream of every elementary teacher is to have kids come to class with a sharp pencil.  Teachers: buy a box of these econimical sharpened pencils and forget the frustration about having to deal with pencilless kids.  Better yet...get the parents to by a box for you.......even better yet....get that wonderful Principal to buy a box for every teacher at the beginning of school.  Note to Principals.....do this and you will be loved by all!

  
",5.0 out of 5 stars
"









  
  
    
  I bought these to use in my classroom. Thought I was getting a great deal. These break easily and do not sharpen well. My students would find the Amazon Basics pencils and not want to use them, because they knew they would break. Not sure if this was just a bad batch, but will not purchase again.

  
",1.0 out of 5 stars
"









  
  
    
  I bought these for my classroom - great price, right?  Pre-sharpened - AWESOME!  PROBLEM:  The tips keep falling off as the lead in all pencils is broken.  We kept sharpening them in my electric pencil sharpener only to have the SAME issue. I even tried other sharpeners thinking my previously awesome sharpener could be the culprit...NOPE.  TOTAL waste of money; ended up throwing them away.

  
",1.0 out of 5 stars
"
   Every time I sharpen these pencils the tips break off.

  
",1.0 out of 5 stars
"









  
  
    
  My son needed some Number 2 pencils for school and I wanted some extras for around the house. The remainder I'm donating to his class. The quantity of pencils is great for the price. And not having to sharpen them is an added bonus since I'm so tired of the cute pencils constantly breaking lead.

  
",5.0 out of 5 stars
"









  
  
    
  It's a good thIng these are pre sharpened, because good luck sharpening them yourself. The leads just fall out in inch-long segments. What is the point of having a pencil that long if you can only use it until the original tip wears down? How hard is it to make a pencil?'

  
",1.0 out of 5 stars
"









  
  
    
  I teach 1st grade and I hate sharpening 200 pencils at the beginning of the school year so I figured I would give these a try. I give each one of my kiddos 8 pencils in a pencil box at the beginning of the week. If they take care of them and turn in all 8 the following week to be sharpened they recieve a small reward plus 8 newly sharpened pencils. These pencils were a great start but when I went to sharpen them the lead continously broke while sharpening. After more than half of them doing this I got frustrated and threw the rest away instead of sharpening them. I will never buy these again! Don't waste your money to just use until the 1st time of you sharpen them.

  
",1.0 out of 5 stars
